field_variance,field_range,subDomains,meshNodes,beta0.true,RMSE_MeshExact,RMSE_Voronoi,RMSE_DualMesh,RMSE_DualMeshExtra,RMSE_DualMeshExtraMeshMapped,RMSE_BarycentricPointSpread,RMSE_BarycentricPointSpreadManyPoints,RMSE_AvgApproxMethods,bias_MeshExact,bias_Voronoi,bias_DualMesh,bias_DualMeshExtra,bias_DualMeshExtraMeshMapped,bias_BarycentricPointSpread,bias_BarycentricPointSpreadManyPoints,bias_AvgApproxMethods,sd_MeshExact,sd_Voronoi,sd_DualMesh,sd_DualMeshExtra,sd_DualMeshExtraMeshMapped,sd_BarycentricPointSpread,sd_BarycentricPointSpreadManyPoints,sd_AvgApproxMethods
0.1,0.25,1,126,0,0.0506662956518036,0.0497753302818916,0.0498193489196545,0.0499576217674437,0.0498001230296583,0.0511059190021211,0.0503958324114843,0.0501771929667727,-0.0506473276768042,-0.0497441433570934,-0.0497983600214889,-0.0499380526578361,-0.0497804040057982,-0.0510866848698333,-0.0503763340242902,-0.0501571852557008,0.00530041799296483,0.00548180234455302,0.00547214661934614,0.00530968684091493,0.0053108306532341,0.00530713154298152,0.00530964543140178,0.0053573494353224
0.1,0.25,1,183,0,0.05021154628463,0.0487243144798374,0.0488031149172122,0.048976274836106,0.0487926728424496,0.0494039078960195,0.0490869449733838,0.0489590017106479,-0.0501971770040204,-0.0486914127150891,-0.0487857480144218,-0.0489610427668963,-0.0487772927967642,-0.0493887069570922,-0.0490716512622398,-0.0489429623491214,0.00535439963844102,0.00568883278588156,0.00557741851012363,0.00537258684262093,0.0053741927006025,0.00537198747222208,0.00537353506840133,0.00545038008370094
0.1,0.25,1,359,0,0.0490572463860015,0.0461113432392476,0.0462215971569539,0.0464333487416597,0.046188856195691,0.0469491781171386,0.0459794220429975,0.0462871324477421,-0.0490464306902905,-0.0460822868800716,-0.0462065659512616,-0.0464207855031361,-0.0461761335115386,-0.0469366436124844,-0.0459666426309741,-0.0462736545172661,0.00538749795496796,0.00573063618370146,0.00561408479583219,0.00542234576332574,0.00542410174559093,0.0054213465839808,0.00542460926971383,0.00549979689547979
0.1,0.25,1,1179,0,0.0436776714401996,0.0341057600010448,0.0344142276672628,0.0346586447571345,0.0344063218999054,0.0344695720977569,0.0343974769700339,0.0343565878329323,-0.043669683684911,-0.0340774400242569,-0.0343995787849798,-0.0346443544996046,-0.0343917799803446,-0.034455052845999,-0.034382930869066,-0.0343413565009293,0.00544791137195736,0.00563579181391896,0.00558110412222433,0.00556479644285169,0.00556610463275868,0.00556570917346118,0.00556614361275453,0.0055703237356456
0.1,0.25,1,4324,0,0.0307784674602328,0.00921434908582787,0.00971010330952476,0.0100211758636189,0.00970954429691732,0.00975962253648826,0.0097030362916061,0.00961479634322915,-0.0307751260675411,-0.0091542542894206,-0.00967929537913405,-0.00999227731401492,-0.00967942927808357,-0.00972965807355466,-0.00967290142597663,-0.0095831076892339,0.00555029023439084,0.00582370053208718,0.0057745264639305,0.00575738815997005,0.00575966101720707,0.00575939426178598,0.00575967377366863,0.00576831967693527
0.1,0.25,1,16429,0,0.0148089700696384,0.011087400272444,0.0107546540280504,0.0105615880845245,0.0107548281490537,0.0107411401059087,0.0107563423497712,0.0108179458205952,-0.0148078897379332,0.0110736269413705,0.0107460011081868,0.0105529347532439,0.0107462729509999,0.0107325741993354,0.0107477884641857,0.0108092527328157,0.00565645946127937,0.00586033908745544,0.00585054882259123,0.00584522063253339,0.00584591219931621,0.00584586615866401,0.00584590976852805,0.00584795547571062
0.1,0.25,2,126,0,0.0506909557902952,0.0498406241809997,0.049863042883986,0.0500368167201009,0.0498446187469078,0.0568863437601729,0.0507890147901042,0.0514388289179336,-0.0506146254662552,-0.0497296851489173,-0.0497800228839486,-0.0499589319993532,-0.0497661873861293,-0.0568173140028239,-0.0507119995137623,-0.0513610417871163,0.00720111533991104,0.00760050956299897,0.00757602192732223,0.00721381554085374,0.00721626225214046,0.00718327521762871,0.00721167044085064,0.00732162420359372
0.1,0.25,2,183,0,0.0502355249711139,0.0487746859942174,0.0488342785199122,0.0490854141937815,0.0488113205019625,0.048469045887787,0.0491624417303719,0.0488043624432711,-0.0501841458269738,-0.0486912778073984,-0.0487748201826121,-0.049031888908713,-0.0487571614159147,-0.048414479363549,-0.0491086504169925,-0.0487492778372933,0.00736220433704177,0.00790789552141885,0.00779321121099085,0.00738322022541819,0.00738684981789659,0.00738680649190111,0.00738528986577489,0.00753684369155363
0.1,0.25,2,359,0,0.0490895777670175,0.0461955014653148,0.0462907193978457,0.0466263284701327,0.0462505695790763,0.0475538753835181,0.0462071823441305,0.0464936676587442,-0.0490540126609396,-0.0461246997682595,-0.0462447805558832,-0.0465871119625934,-0.0462107734676093,-0.0475151107584631,-0.0461673496818344,-0.0464525428464099,0.00748244761064466,0.00809494202047103,0.00792086377100498,0.0075305340288416,0.007534501814975,0.00752777490232853,0.00753465404048372,0.00769097079577696
0.1,0.25,2,1179,0,0.0436741513390005,0.0340997602426216,0.0344178001324492,0.0349041855313846,0.0344023294810786,0.0344361349685181,0.0343582555944382,0.0343383218986718,-0.0436533846255734,-0.0340370872293775,-0.0343820007170517,-0.0348705805482974,-0.034367767927182,-0.0344015891150908,-0.0343236503933093,-0.0343024190764023,0.00762012504267107,0.00796195491817183,0.00785710935864445,0.00777392140116193,0.00777912894428915,0.00777874530118981,0.00777923214685246,0.00781183659029821
